,Green,NUMBER_OFFERS_SME,SOCIAL_CLAUSE,ENVIRONMENTAL_CLAUSE,ENVIRONMENTAL_CRITERION,ENVIRONMENTAL_WEIGHT,P_CRITERION_WEIGHT,AWARD_PRICE,CAE_LEGAL_STATUS,CAE_REGION,PROCEDURE_TYPE,CPV,FRAMEWORK_AGREEMENT,ADVERTISING,ID_BOAMP_AWARD,ALLOTMENT,MONTH,Division_type,Division,Offers_other,CAE_SIREN,presence,Quarter,Statut
15849,1,2.0,1,1,0,0.0,40.0,15.89495209964411,721,Ile-de-France,open,'50232100,0,34.0,22-12103,1,2022_January,S,50,0.0,219300787,1,2022Q1,Commune
15850,1,2.0,1,1,0,0.0,40.0,13.997832114758229,721,Ile-de-France,open,'50232200,0,34.0,22-12103,1,2022_January,S,50,0.0,219300787,1,2022Q1,Commune
16269,0,4.0,0,0,0,0.0,40.0,11.813030057420567,738,Ile-de-France,open,'79600000,1,40.0,22-13895,1,2022_February,S,79,2.0,180036048,1,2022Q1,Etat
16270,0,1.0,0,0,0,0.0,40.0,10.00784756786037,738,Ile-de-France,open,'79600000,1,40.0,22-13895,1,2022_February,S,79,0.0,180036048,1,2022Q1,Etat
16275,1,2.0,1,1,0,0.0,40.0,13.646819679939954,712,Ile-de-France,open,'79311200,1,32.0,22-21352,0,2022_February,S,79,0.0,120064019,1,2022Q1,Etat
16509,0,1.0,0,0,0,0.0,40.0,11.918390573078392,738,Ile-de-France,open,'66510000,1,34.0,22-32519,1,2022_March,S,66,2.0,180036048,1,2022Q1,Etat
16511,0,1.0,0,0,0,0.0,40.0,11.918390573078392,738,Ile-de-France,open,'66510000,1,34.0,22-32519,1,2022_March,S,66,1.0,180036048,1,2022Q1,Etat
16513,0,1.0,0,0,0,0.0,30.0,12.611537753638338,738,Ile-de-France,open,'66510000,1,34.0,22-32519,1,2022_March,S,66,1.0,180036048,1,2022Q1,Etat
21775,1,6.0,0,0,1,15.0,35.294117647058826,14.28551418721001,736,Ile-de-France,open,'15811100,1,31.0,22-101776,0,2022_July,F,15,0.0,267500403,1,2022Q3,EPL
22022,0,1.0,0,0,0,0.0,40.0,11.982929094215963,736,Ile-de-France,open,'79800000,0,32.0,22-109628,1,2022_August,S,79,1.0,267500007,1,2022Q3,EPL
22023,0,0.0,0,0,0,0.0,35.0,12.676076274775909,736,Ile-de-France,open,'79800000,0,32.0,22-109628,1,2022_August,S,79,2.0,267500007,0,2022Q3,EPL
22024,0,2.0,0,0,0,0.0,40.0,10.778956289890028,736,Ile-de-France,open,'79800000,0,32.0,22-109628,1,2022_August,S,79,1.0,267500007,1,2022Q3,EPL
22139,0,3.0,0,0,0,0.0,55.00000000000001,15.424948470398375,736,Ile-de-France,open,'45262700,0,29.0,22-118839,0,2022_September,T,45,1.0,267500007,1,2022Q3,EPL
22179,1,3.0,0,1,0,0.0,40.0,11.855628251342077,738,Grand Est,open,'38636100,0,38.0,22-122717,0,2022_September,F,38,0.0,180070039,1,2022Q3,Etat
22208,0,4.0,1,0,0,0.0,40.0,12.181651870988492,711,Ile-de-France,open,'48000000,1,29.0,22-130483,0,2022_October,S,48,0.0,110043015,1,2022Q4,Etat
22274,0,1.0,1,0,0,0.0,30.0,12.966878474563934,711,Ile-de-France,open,'70310000,1,30.0,22-133735,1,2022_October,S,70,0.0,110043015,1,2022Q4,Etat
22275,0,1.0,1,0,0,0.0,30.0,13.833994669341427,711,Ile-de-France,open,'70310000,1,30.0,22-133735,1,2022_October,S,70,0.0,110043015,1,2022Q4,Etat
