,green,offers_sme,social_clause,g_clause,g_criterion,g_weight,price_weight,award_price,region,cpv,framework,advertising,id_contract,allotment,month,contract_type,cpv_division,offers_other,authority_siren,participation,quarter,status
0,1,2.0,1,1,0,0.0,40.0,15.89495209964411,Ile-de-France,'50232100,0,34.0,22-12103,1,2022_January,S,50,0.0,219300787,1,2022Q1,municipality
1,1,2.0,1,1,0,0.0,40.0,13.997832114758229,Ile-de-France,'50232200,0,34.0,22-12103,1,2022_January,S,50,0.0,219300787,1,2022Q1,municipality
2,0,4.0,0,0,0,0.0,40.0,11.813030057420567,Ile-de-France,'79600000,1,40.0,22-13895,1,2022_February,S,79,2.0,180036048,1,2022Q1,state
3,0,1.0,0,0,0,0.0,40.0,10.00784756786037,Ile-de-France,'79600000,1,40.0,22-13895,1,2022_February,S,79,0.0,180036048,1,2022Q1,state
4,1,2.0,1,1,0,0.0,40.0,13.646819679939954,Ile-de-France,'79311200,1,32.0,22-21352,0,2022_February,S,79,0.0,120064019,1,2022Q1,state
5,0,1.0,0,0,0,0.0,40.0,11.918390573078392,Ile-de-France,'66510000,1,34.0,22-32519,1,2022_March,S,66,2.0,180036048,1,2022Q1,state
6,0,1.0,0,0,0,0.0,40.0,11.918390573078392,Ile-de-France,'66510000,1,34.0,22-32519,1,2022_March,S,66,1.0,180036048,1,2022Q1,state
7,0,1.0,0,0,0,0.0,30.0,12.611537753638338,Ile-de-France,'66510000,1,34.0,22-32519,1,2022_March,S,66,1.0,180036048,1,2022Q1,state
8,1,6.0,0,0,1,15.0,35.294117647058826,14.28551418721001,Ile-de-France,'15811100,1,31.0,22-101776,0,2022_July,F,15,0.0,267500403,1,2022Q3,specialized
9,0,1.0,0,0,0,0.0,40.0,11.982929094215963,Ile-de-France,'79800000,0,32.0,22-109628,1,2022_August,S,79,1.0,267500007,1,2022Q3,specialized
10,0,0.0,0,0,0,0.0,35.0,12.676076274775909,Ile-de-France,'79800000,0,32.0,22-109628,1,2022_August,S,79,2.0,267500007,0,2022Q3,specialized
11,0,2.0,0,0,0,0.0,40.0,10.778956289890028,Ile-de-France,'79800000,0,32.0,22-109628,1,2022_August,S,79,1.0,267500007,1,2022Q3,specialized
12,0,3.0,0,0,0,0.0,55.00000000000001,15.424948470398377,Ile-de-France,'45262700,0,29.0,22-118839,0,2022_September,T,45,1.0,267500007,1,2022Q3,specialized
13,1,3.0,0,1,0,0.0,40.0,11.855628251342075,Grand Est,'38636100,0,38.0,22-122717,0,2022_September,F,38,0.0,180070039,1,2022Q3,state
14,0,4.0,1,0,0,0.0,40.0,12.181651870988492,Ile-de-France,'48000000,1,29.0,22-130483,0,2022_October,S,48,0.0,110043015,1,2022Q4,state
15,0,1.0,1,0,0,0.0,30.0,12.966878474563934,Ile-de-France,'70310000,1,30.0,22-133735,1,2022_October,S,70,0.0,110043015,1,2022Q4,state
16,0,1.0,1,0,0,0.0,30.0,13.833994669341427,Ile-de-France,'70310000,1,30.0,22-133735,1,2022_October,S,70,0.0,110043015,1,2022Q4,state
17,0,1.0,1,0,0,0.0,40.0,13.997832114758229,Ile-de-France,'72416000,1,34.0,22-72920,0,2022_May,S,72,2.0,110043015,1,2022Q2,state
18,1,3.0,0,1,1,5.0,52.63157894736842,15.319587954740548,Ile-de-France,'34928480,0,30.0,22-75410,0,2022_May,F,34,0.0,259500023,1,2022Q2,specialized
19,1,4.0,0,1,0,0.0,45.0,12.89921982609012,Ile-de-France,'18100000,0,35.0,22-76412,1,2022_June,F,18,1.0,219300787,1,2022Q2,municipality
20,1,6.0,0,1,0,0.0,45.0,11.982929094215963,Ile-de-France,'18100000,0,35.0,22-76412,1,2022_June,F,18,2.0,219300787,1,2022Q2,municipality
21,1,2.0,0,1,0,0.0,45.0,11.512925464970229,Ile-de-France,'18100000,0,35.0,22-76412,1,2022_June,F,18,1.0,219300787,1,2022Q2,municipality
22,0,2.0,0,0,0,0.0,40.0,15.424748450395708,Ile-de-France,'72600000,1,32.0,22-82147,0,2022_June,S,72,0.0,180070039,1,2022Q2,state
23,1,0.0,1,1,0,0.0,50.0,17.72753356339242,Ile-de-France,'64212000,1,36.0,22-162340,0,2022_December,S,64,2.0,130022205,0,2022Q4,state
24,0,1.0,0,0,0,0.0,30.0,11.68140161494213,Ile-de-France,'79952000,1,20.0,22-136008,0,2022_October,S,79,0.0,110043015,1,2022Q4,state
25,0,1.0,0,0,0,0.0,40.0,13.607674250717212,Ile-de-France,'71310000,0,48.0,23-11648,0,2023_January,S,71,0.0,219300019,1,2023Q1,municipality
26,1,1.0,0,0,1,3.0,30.927835051546392,13.669328047786191,Ile-de-France,'66133000,1,31.0,23-30725,0,2023_March,S,66,2.0,110070018,1,2023Q1,state
27,0,1.0,0,0,0,0.0,30.0,12.065401539991406,Ile-de-France,'72268000,1,28.0,21-64832,0,2023_March,S,72,1.0,130002504,1,2023Q1,state
28,1,1.0,1,1,0,0.0,40.0,8.446556111816797,Ile-de-France,'90910000,1,50.0,23-47700,1,2023_April,S,90,0.0,180044174,1,2023Q2,state
29,1,1.0,1,1,0,0.0,40.0,9.0641578617981,Ile-de-France,'90910000,1,50.0,23-47700,1,2023_April,S,90,0.0,180044174,1,2023Q2,state
30,1,0.0,1,1,1,10.0,50.0,13.304684934198283,Ile-de-France,'98130000,0,36.0,23-58075,1,2023_April,S,98,1.0,180089013,0,2023Q2,state
31,1,0.0,1,1,1,10.0,50.0,12.89921982609012,Ile-de-France,'98310000,0,36.0,23-58075,1,2023_April,S,98,1.0,180089013,0,2023Q2,state
32,0,1.0,0,0,0,0.0,50.0,12.206072645530174,Ile-de-France,'50100000,1,30.0,23-58127,1,2023_April,S,50,0.0,219200516,1,2023Q2,municipality
33,0,3.0,0,0,0,0.0,40.0,11.141861783579396,Ile-de-France,'80511000,1,35.0,23-61097,1,2023_May,S,80,3.0,180035065,1,2023Q2,state
34,1,2.0,0,1,1,5.0,57.89473684210527,11.432425027554416,Ile-de-France,'30197643,1,30.0,23-99133,0,2023_July,F,30,1.0,217805514,1,2023Q3,municipality
35,1,2.0,0,1,1,15.0,58.82352941176471,13.592367006650065,Ile-de-France,'50721000,0,33.0,23-101193,1,2023_July,S,50,1.0,219200359,1,2023Q3,municipality
36,1,1.0,0,1,1,15.0,58.82352941176471,13.122363377404328,Ile-de-France,'50721000,0,33.0,23-101193,1,2023_July,S,50,1.0,219200359,1,2023Q3,municipality
37,0,3.0,0,0,0,0.0,40.0,13.304684934198283,Ile-de-France,'79810000,1,33.0,23-110001,0,2023_August,S,79,1.0,200057974,1,2023Q3,municipal_federation
38,1,1.0,1,1,0,0.0,40.0,13.815510557964274,Hauts-de-France,'72260000,1,34.0,23-110379,0,2023_August,S,72,0.0,130017791,1,2023Q3,state
39,0,1.0,0,0,0,0.0,50.0,11.69086242344636,Ile-de-France,'18512200,1,39.0,23-112681,1,2023_August,F,18,1.0,110000023,1,2023Q3,state
40,0,1.0,0,0,0,0.0,40.0,11.59470819638557,Ile-de-France,'18512200,1,39.0,23-112681,1,2023_August,F,18,1.0,110000023,1,2023Q3,state
41,0,2.0,0,0,0,0.0,30.0,17.038378404102012,Ile-de-France,'72600000,1,31.0,23-113308,0,2023_August,S,72,3.0,217500016,1,2023Q3,departement
42,0,2.0,0,0,0,0.0,30.0,17.038378404102012,Ile-de-France,'72600000,1,31.0,23-113308,0,2023_August,S,72,3.0,217500016,1,2023Q3,departement
43,0,2.0,0,0,0,0.0,30.0,17.038378404102012,Ile-de-France,'72600000,1,31.0,23-113308,0,2023_August,S,72,3.0,217500016,1,2023Q3,departement
44,0,2.0,0,0,0,0.0,40.0,12.647548191161372,Ile-de-France,'71300000,0,28.0,23-114173,0,2023_August,S,71,0.0,110000023,1,2023Q3,state
45,1,4.0,0,0,1,5.0,42.10526315789473,10.482989997850549,Ile-de-France,'50700000,1,32.0,23-114856,0,2023_August,S,50,2.0,217805514,1,2023Q3,municipality
46,1,10.0,0,1,0,0.0,60.0,13.592367006650065,Ile-de-France,'79713000,0,33.0,23-125390,1,2023_September,S,79,0.0,130008014,1,2023Q3,state
47,1,1.0,1,1,0,0.0,40.0,14.403297222866392,Hauts-de-France,'79311000,1,41.0,23-147954,0,2023_October,S,79,2.0,130017791,1,2023Q4,state
48,1,3.0,0,1,0,0.0,50.0,14.077874822431763,Ile-de-France,'30200000,1,33.0,23-151922,0,2023_October,F,30,1.0,130002504,1,2023Q4,state
49,0,2.0,0,0,0,0.0,40.0,11.695247021764184,Ile-de-France,'18000000,1,33.0,23-173699,1,2023_December,F,18,0.0,217804186,1,2023Q4,municipality
50,1,1.0,0,1,1,10.0,55.55555555555556,16.759949537130716,Ile-de-France,'34110000,0,71.0,23-177079,1,2023_December,F,34,2.0,180070047,1,2023Q4,state
51,1,1.0,0,1,0,0.0,20.0,13.191144759862386,Ile-de-France,'22200000,0,30.0,22-32016,0,2022_March,F,22,0.0,197534712,1,2022Q1,state
52,0,6.0,0,0,0,0.0,60.0,11.695247021764184,Ile-de-France,'18143000,1,32.0,22-90089,0,2022_June,F,18,0.0,219200359,1,2022Q2,municipality
53,1,3.0,0,1,0,0.0,65.0,14.141680392333884,Ile-de-France,'45331000,1,38.0,22-62210,0,2022_May,T,45,4.0,180035024,1,2022Q2,state
54,1,1.0,0,0,1,30.0,100.0,11.695247021764184,Ile-de-France,'03451100,1,33.0,22-64765,1,2022_May,F,3,0.0,217500016,1,2022Q2,departement
