,sme,social_clause,g_clause,g_criterion,g_weight,price_weight,award_price,legal_status,departement,procedure_type,CPV,framework,advertising,id_contract,allotment,month,contract_type,sme_ratio,siren
0,0,0,0,0,0.0,40.0,15.212167788593934,73,75,open,'72500000,1,33.0,19-18180,1,2022_September,Services,0.25,130002504
1,0,0,0,0,0.0,40.0,13.612986702015982,73,75,open,'72600000,1,33.0,19-18180,1,2022_September,Services,0.25,130002504
2,1,0,0,1,20.0,50.0,13.50238759303054,73,3,open,'90511200,0,44.0,20-152200,0,2023_October,Services,0.3333333333333333,200071363
3,0,0,0,0,0.0,50.0,13.74022111892256,41,6,negotiated,'35113400,0,23.0,21-140569,1,2022_May,Supplies,0.0,802630608
4,1,0,0,0,0.0,50.0,12.611980988728485,41,6,negotiated,'35113400,0,23.0,21-140569,1,2022_May,Supplies,0.5,802630608
5,0,0,0,0,0.0,60.0,11.224629871019282,41,6,negotiated,'50413100,0,23.0,21-140569,1,2022_May,Services,0.5,802630608
6,0,0,0,0,0.0,100.0,17.545960462435502,55,28,negotiated,'92610000,0,45.0,21-152952,0,2022_January,Services,0.0,814969671
7,0,0,0,0,0.0,30.0,12.669240463766627,73,93,open,'79300000,0,29.0,21-160293,1,2022_February,Services,0.0,130006364
8,0,0,0,0,0.0,30.0,11.461000392105309,73,93,open,'79300000,0,29.0,21-160293,1,2022_February,Services,0.0,130006364
9,0,0,0,0,0.0,30.0,12.789404960082912,73,93,open,'79300000,0,29.0,21-160293,1,2022_February,Services,0.0,130006364
10,0,0,0,0,0.0,30.0,14.635994986985414,73,93,open,'79300000,0,29.0,21-160293,1,2022_February,Services,0.0,130006364
11,0,0,0,0,0.0,30.0,11.953242783845605,73,93,open,'79300000,0,29.0,21-160293,1,2022_February,Services,0.0,130006364
12,0,0,1,1,10.0,40.0,12.943404592150992,72,49,open,'50712000,0,52.0,21-161043,1,2022_January,Services,0.4,224900019
13,0,0,1,1,10.0,40.0,12.453788294856093,72,49,open,'50712000,0,52.0,21-161043,1,2022_January,Services,0.3333333333333333,224900019
14,0,0,1,1,10.0,40.0,12.259475630454851,72,49,open,'50712000,0,52.0,21-161043,1,2022_January,Services,0.0,224900019
15,0,0,1,1,10.0,40.0,11.212927461839048,72,49,open,'50712000,0,52.0,21-161043,1,2022_January,Services,0.0,224900019
16,0,0,0,0,0.0,50.0,9.695920185166008,73,93,open,'66510000,0,32.0,21-161252,1,2022_January,Services,0.0,130006364
17,0,0,0,0,0.0,50.0,12.949855714433662,73,85,open,'71620000,1,35.0,21-164503,1,2022_January,Services,0.75,258502962
18,0,0,0,0,0.0,50.0,13.039103500186108,73,85,open,'71620000,1,35.0,21-164503,1,2022_January,Services,0.0,258502962
19,1,0,0,0,0.0,50.0,11.117212648304742,73,85,open,'71620000,1,35.0,21-164503,1,2022_January,Services,0.4,258502962
20,0,0,0,0,0.0,30.0,12.793859310432293,72,85,open,'09200000,0,31.0,21-164687,1,2022_January,Supplies,0.0,218501096
21,0,0,0,0,0.0,30.0,10.085809109330082,72,85,open,'09200000,0,31.0,21-164687,1,2022_January,Supplies,0.0,218501096
22,0,0,0,0,0.0,30.0,12.206072645530174,72,85,open,'09200000,0,31.0,21-164687,1,2022_January,Supplies,0.0,218501096
23,0,0,0,0,0.0,30.0,10.373491181781864,72,85,open,'09200000,0,31.0,21-164687,1,2022_January,Supplies,0.0,218501096
24,0,0,1,0,0.0,60.0,15.717618084361195,72,60,open,'45233220,1,46.0,21-165299,1,2022_January,Works,0.2,226000016
25,0,0,1,0,0.0,60.0,15.732433170146336,72,60,open,'45233220,1,46.0,21-165299,1,2022_January,Works,0.25,226000016
26,0,1,0,0,0.0,100.0,18.300447497730225,73,75,negotiated,'60130000,0,28.0,21-165606,0,2022_January,Services,0.0,287500078
27,0,1,1,0,0.0,100.0,17.661134346901097,73,33,negotiated,'50000000,0,80.0,21-169202,0,2022_January,Services,0.0,243300316
28,0,0,0,0,0.0,40.0,13.133342881447335,73,85,open,'71300000,1,33.0,21-170961,1,2022_January,Services,0.0,200023778
29,0,0,0,0,0.0,40.0,14.299059225097706,72,60,open,'66515200,0,33.0,21-171537,1,2022_January,Services,0.0,216001743
30,1,1,0,0,0.0,35.0,13.892471599100402,55,29,open,'79710000,1,34.0,21-171632,1,2022_January,Services,0.0,311294904
31,1,1,0,0,0.0,35.0,13.304684934198283,55,29,open,'79710000,1,34.0,21-171632,1,2022_January,Services,0.0,311294904
32,1,1,0,0,0.0,35.0,13.487006490992238,55,29,open,'79710000,1,34.0,21-171632,1,2022_January,Services,0.0,311294904
33,0,1,0,0,0.0,35.0,13.815510557964274,55,29,open,'79710000,1,34.0,21-171632,1,2022_January,Services,0.0,311294904
34,0,1,0,0,0.0,35.0,12.89921982609012,55,29,open,'79710000,1,34.0,21-171632,1,2022_January,Services,0.0,311294904
35,0,1,1,1,10.0,40.0,14.69019148507716,72,85,open,'30213000,1,55.0,21-171703,0,2022_January,Supplies,0.5,228500013
36,1,0,1,1,22.0,40.0,12.765688433465597,72,91,open,'79810000,1,29.0,21-171750,1,2022_January,Services,0.5,219104775
37,1,1,1,1,5.0,50.0,13.969661240648676,72,83,open,'90911200,1,48.0,21-171766,1,2022_January,Services,0.25,218300697
38,0,1,1,1,5.0,50.0,13.030285522006409,72,83,open,'90911200,1,48.0,21-171766,1,2022_January,Services,0.4285714285714285,218300697
39,0,1,1,1,5.0,50.0,13.038583145547458,72,83,open,'90911200,1,48.0,21-171766,1,2022_January,Services,0.3333333333333333,218300697
40,0,1,1,1,5.0,50.0,12.89921982609012,72,83,open,'90911200,1,48.0,21-171766,1,2022_January,Services,0.0,218300697
41,0,1,1,1,10.0,60.0,10.819778284410283,72,83,open,'90911200,1,48.0,21-171766,1,2022_January,Services,0.0,218300697
42,0,1,1,1,10.0,60.0,11.918390573078392,72,83,open,'90911200,1,48.0,21-171766,1,2022_January,Services,0.0,218300697
43,0,1,1,1,10.0,60.0,12.360223311071715,72,83,open,'90911200,1,48.0,21-171766,1,2022_January,Services,0.0,218300697
44,0,0,0,0,0.0,30.0,12.065401539991406,73,75,open,'72268000,1,28.0,21-64832,0,2023_March,Services,0.5,130002504
45,0,0,0,0,0.0,40.0,14.115615150414612,73,94,open,'71336000,1,51.0,21-74560,0,2022_January,Services,0.0,180092256
46,0,0,1,0,0.0,40.0,11.629374277613476,73,60,open,'77341000,1,33.0,22-100017,1,2022_July,Services,0.5,200067973
47,1,0,0,0,0.0,50.0,10.819778284410283,73,50,open,'09130000,1,44.0,22-100177,1,2022_July,Supplies,0.5,200067205
48,0,0,1,0,0.0,60.0,12.20515962885727,73,39,open,'45112500,0,29.0,22-100216,1,2022_July,Works,0.5,200071116
49,0,0,1,0,0.0,60.0,12.840103644131018,73,39,open,'45331000,0,29.0,22-100216,1,2022_July,Works,0.0,200071116
50,0,0,1,0,0.0,60.0,11.341267252101929,73,39,open,'45330000,0,29.0,22-100216,1,2022_July,Works,0.0,200071116
51,1,0,1,0,0.0,60.0,11.995931692849954,73,39,open,'45311200,0,29.0,22-100216,1,2022_July,Works,0.8,200071116
52,1,0,1,0,0.0,60.0,9.1446278286108,73,39,open,'45112710,0,29.0,22-100216,1,2022_July,Works,0.5,200071116
53,1,0,1,0,0.0,60.0,13.448236079771156,73,39,open,'45261100,0,29.0,22-100216,1,2022_July,Works,0.6666666666666666,200071116
54,0,0,1,0,0.0,60.0,11.45931369552158,73,39,open,'45223210,0,29.0,22-100216,1,2022_July,Works,0.6666666666666666,200071116
55,0,0,1,0,0.0,60.0,12.453581692523215,73,39,open,'45261420,0,29.0,22-100216,1,2022_July,Works,0.25,200071116
56,0,0,0,0,0.0,100.0,12.406185003332675,65,10,open,'90911200,0,38.0,22-100486,1,2022_July,Services,0.0,418341541
57,0,0,0,0,0.0,100.0,10.351972238708036,65,10,open,'90911300,0,38.0,22-100486,1,2022_July,Services,0.0,418341541
58,0,0,0,0,0.0,100.0,15.607290360318943,73,52,negotiated,'55521200,0,40.0,22-100806,0,2022_July,Services,0.0,200068658
59,0,0,0,0,0.0,40.0,13.592367006650065,72,14,open,'30199770,1,30.0,22-10083,0,2022_January,Supplies,0.0,211407150
60,0,0,1,0,0.0,40.0,13.815509557963772,73,33,open,'50700000,1,41.0,22-100845,0,2022_July,Services,0.0,130018351
61,0,0,1,0,0.0,40.0,13.085141145955522,41,44,open,'32321200,1,29.0,22-100901,0,2022_July,Supplies,0.4,381053768
62,0,0,0,0,0.0,40.0,12.89921982609012,73,80,open,'66133000,1,31.0,22-101046,0,2022_July,Services,0.0,248000747
63,1,0,0,0,0.0,45.0,12.542544882151386,73,30,open,'18100000,1,33.0,22-101100,0,2022_July,Supplies,0.5,200066918
64,0,0,1,0,0.0,50.0,14.676012296502297,72,59,open,'50721000,0,36.0,22-101114,0,2022_July,Services,0.0,215903865
65,0,0,0,0,0.0,20.0,13.16158409055761,72,13,open,'39296100,1,33.0,22-10132,1,2022_January,Supplies,0.0,211300041
66,0,0,0,0,0.0,20.0,11.002099841204238,72,13,open,'39296000,1,33.0,22-10132,1,2022_January,Supplies,0.5,211300041
67,0,0,0,0,0.0,60.0,11.982929094215963,73,86,open,'31224500,1,37.0,22-101417,1,2022_July,Supplies,0.25,198608564
68,0,0,0,1,10.0,50.0,15.80754064263314,73,2,open,'90513000,0,32.0,22-101479,1,2022_July,Services,0.0,250208790
69,0,0,0,1,10.0,50.0,15.143751987635548,73,2,open,'90513000,0,32.0,22-101479,1,2022_July,Services,0.0,250208790
70,0,0,0,1,10.0,50.0,14.608457823601396,73,2,open,'90513000,0,32.0,22-101479,1,2022_July,Services,0.0,250208790
71,0,0,0,1,10.0,50.0,14.571186428804165,73,2,open,'90513000,0,32.0,22-101479,1,2022_July,Services,0.3333333333333333,250208790
72,0,0,0,1,10.0,50.0,15.245163693256387,73,2,open,'90513000,0,32.0,22-101479,1,2022_July,Services,0.3333333333333333,250208790
